"","x"
"(Intercept)",0.440043198938049
"TeamBournemouth",-0.351073840886102
"TeamBurnley",-0.655832196443473
"TeamChelsea",0.0137370455624314
"TeamCrystal Palace",-0.47936260604426
"TeamEverton",-0.159401183290429
"TeamHull City",-0.784773574638306
"TeamLeicester City",-0.526955947540866
"TeamLiverpool",0.049776551241713
"TeamManchester City",-0.0705327292199514
"TeamManchester Utd",-0.319369807932034
"TeamMiddlesbrough",-1.04623779954882
"TeamSouthampton",-0.513217699222168
"TeamStoke City",-0.537744507662629
"TeamSunderland",-0.824373925099262
"TeamSwansea City",-0.477600821498151
"TeamTottenham",-0.0255558197392852
"TeamWatford",-0.532109958471652
"TeamWest Bromwich",-0.433886519886491
"TeamWest Ham Utd",-0.370152536923757
"OpponentBournemouth",0.385678476046767
"OpponentBurnley",0.10168701382618
"OpponentChelsea",-0.523652956871481
"OpponentCrystal Palace",0.303119826258714
"OpponentEverton",-0.151211227025182
"OpponentHull City",0.406148193947932
"OpponentLeicester City",0.293969577460549
"OpponentLiverpool",-0.022403979921687
"OpponentManchester City",-0.160286351457569
"OpponentManchester Utd",-0.359702148047672
"OpponentMiddlesbrough",-0.087502385158116
"OpponentSouthampton",0.0465575008648433
"OpponentStoke City",0.118308046958001
"OpponentSunderland",0.3136145161738
"OpponentSwansea City",0.503523295108639
"OpponentTottenham",-0.516797409361916
"OpponentWatford",0.322787445841947
"OpponentWest Bromwich",0.0468590966931176
"OpponentWest Ham Utd",0.353083623885572
"Home",0.292376474610323
